,point_code,VOCs,CO2,H2,O2,H2S,HCHO,NH3,CH4,Radon,FG_C12O,FG_AlkB,FG_prmA,geometry,Point_ID,FG,All_indicators_Scores,CH4_Score,CO2_Score,H2S_Score,H2_Score,O2_Score,Radon_Score,The_other_soil_gas_scores,VOCs_Score,Contamination_type,Scope_of_contamination,color
47,LX-141,0.41,0.0038,40.0,20.3,0.0,6.63,1.0,0.0,,,,,POINT (1490321.6678627403 5147602.341704785),LX-141,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
48,LX-142,0.63,0.0028,90.0,20.4,1.0,9.99,1.0,0.0,,,,,POINT (1490285.7625789265 5147588.853101531),LX-142,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
49,LX-143,213.19,0.0497,760.0,3.6,4.5,9.99,0.0,0.54,0.0,142684.2298485673,141668993.61673245,11062.308480748346,POINT (1490498.3576151312 5147631.792003058),LX-143,,61.0,22.0,2.0,1.0,3.0,0.0,11.0,50.0,22.0,Source_of_contamination,1,orange
50,LX-144,0.33,0.003,70.0,20.5,0.6,9.63,1.0,0.0,,,,,POINT (1490483.1185669303 5147532.921285621),LX-144,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
51,LX-145,0.5,0.002,10.0,20.9,0.0,9.99,1.0,0.0,,,,,POINT (1490599.4429923818 5147665.830504159),LX-145,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
52,LX-146,0.6,0.009,400.0,20.9,0.0,9.99,0.0,0.0,,,,,POINT (1490651.8032635215 5147458.102513954),LX-146,,,0.0,0.0,0.0,1.0,0.0,,2.0,1.0,Scores<6,1,orange
53,LX-147,0.6,0.0065,110.0,20.9,0.7,9.99,1.0,0.0,,,,,POINT (1490675.161256061 5147466.810877527),LX-147,,,0.0,0.0,0.0,1.0,0.0,,2.0,1.0,Scores<6,1,orange
54,LX-15,0.16,0.0006,70.0,20.4,0.0,1.69,1.0,0.0,,,,,POINT (1490688.3590202495 5147541.597211433),LX-15,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
55,LX-17,1.23,0.0049,180.0,20.3,1.5,9.99,0.0,0.0,,,,,POINT (1490663.2942165937 5147609.232487202),LX-17,,,0.0,0.0,1.0,1.0,0.0,,4.0,2.0,Scores<6,1,orange
56,LX-18,0.32,0.0148,30.0,19.6,0.0,3.69,0.0,0.0,,528470.1676171048,624514696.129318,14072.481746057898,POINT (1490638.4784275277 5147656.855595729),LX-18,,,0.0,2.0,0.0,0.0,0.0,,3.0,1.0,Scores<6,1,orange
57,LX-19,0.33,0.0012,50.0,20.3,0.0,4.94,0.0,0.0,,,,,POINT (1490621.9287714164 5147706.237359102),LX-19,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
58,LX-2,0.4,0.0002,50.0,20.1,0.0,4.54,0.0,0.0,,,,,POINT (1490380.424578071 5147352.558298911),LX-2,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
59,LX-20,0.13,0.0016,30.0,20.4,0.0,4.05,0.0,0.0,,,,,POINT (1490609.4028875928 5147741.334584392),LX-20,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
60,LX-21,0.7,0.0055,30.0,20.2,0.0,4.74,1.0,0.0,,1543451.0088686938,858549755.0018793,0.0,POINT (1490588.1256445271 5147746.015029801),LX-21,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
61,LX-22,0.14,0.0063,80.0,18.8,0.0,7.44,1.0,0.0,,,,,POINT (1490576.3367112027 5147789.763254879),LX-22,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
62,LX-23,0.17,0.0036,20.0,20.2,0.0,2.51,1.0,0.0,,,,,POINT (1490583.623758073 5147818.66441366),LX-23,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
63,LX-24,0.19,0.0021,70.0,20.4,0.7,9.99,0.0,0.0,,,,,POINT (1490585.3055479524 5147850.502984546),LX-24,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
64,LX-25,0.5,0.0191,300.0,18.2,3.0,9.99,2.0,0.0,11800.0,411451.8233544678,3119410424.562881,9718.879542489345,POINT (1490557.4590408446 5147774.353613937),LX-25,,,0.0,2.0,1.0,1.0,0.0,0.0,5.0,1.0,Scores<6,1,orange
65,LX-26,0.27,0.0016,30.0,20.5,0.0,3.72,1.0,0.0,,,,,POINT (1490557.4316640056 5147740.222401762),LX-26,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
66,LX-27,0.07,0.0026,10.0,20.5,0.0,1.56,1.0,0.0,,,,,POINT (1490473.9385409679 5147648.721383057),LX-27,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Scores<6,0,green
67,LX-28,0.16,0.007,90.0,19.5,0.8,9.99,1.0,0.0,,,,,POINT (1490452.512038622 5147622.6656309655),LX-28,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
68,LX-29,0.82,0.0079,290.0,19.4,2.8,9.99,1.0,0.0,,,,,POINT (1490423.675234201 5147613.336532522),LX-29,,,0.0,0.0,1.0,1.0,0.0,,3.0,1.0,Scores<6,1,orange
69,LX-3,0.5,0.0015,80.0,20.4,0.0,8.99,1.0,0.0,,,,,POINT (1490371.6255263346 5147383.138916216),LX-3,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
70,LX-30,99.9,0.0027,350.0,20.2,2.9,9.99,1.0,0.0,1270.0,1006832.9100170514,1304691022.9053483,2599.242807203826,POINT (1490377.8146926193 5147598.2839598525),LX-30,,9.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,6.0,Suspected_source_of_contamination,1,orange
71,LX-31,1.5,0.0024,50.0,20.0,0.6,9.99,1.0,0.0,,,,,POINT (1490346.5467753285 5147588.1379183475),LX-31,,,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Scores<6,1,orange
72,LX-32,1.01,0.016,270.0,19.1,2.8,9.99,0.0,0.0,,,,,POINT (1490319.0583378384 5147570.496015067),LX-32,,,0.0,2.0,1.0,1.0,0.0,,6.0,2.0,Scores<6,1,orange
73,LX-33,0.62,0.0042,70.0,20.5,0.0,4.4,0.0,0.0,,,,,POINT (1490292.2138600396 5147556.79638175),LX-33,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
74,LX-34,0.32,0.0025,60.0,20.9,0.0,8.98,0.0,0.0,,,,,POINT (1490276.035564904 5147553.7703964235),LX-34,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
75,LX-35,0.23,0.0015,20.0,20.9,0.0,8.74,1.0,0.0,,,,,POINT (1490287.6827808085 5147524.074617049),LX-35,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
76,LX-36,0.28,0.001,70.0,20.9,0.7,9.99,0.0,0.0,,,,,POINT (1490296.5739989048 5147498.202618696),LX-36,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
77,LX-37,0.33,0.0018,20.0,20.9,0.0,4.14,0.0,0.0,,,,,POINT (1490306.3105588872 5147475.024489212),LX-37,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
78,LX-38,0.16,0.0005,20.0,20.9,0.0,3.71,0.0,0.0,,519302.3801112069,1674707067.818651,4136.6212293033395,POINT (1490311.137541432 5147426.74255008),LX-38,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
