,point_code,VOCs,CO2,H2,O2,H2S,HCHO,NH3,CH4,Radon,FG_C12O,FG_AlkB,FG_prmA,geometry,Point_ID,FG,All_indicators_Scores,CH4_Score,CO2_Score,H2S_Score,H2_Score,O2_Score,Radon_Score,The_other_soil_gas_scores,VOCs_Score,Contamination_type,Scope_of_contamination,color
104,LX-61,0.7,0.004,100.0,20.4,0.8,9.99,0.0,0.0,,,,,POINT (1490519.0811823676 5147459.74765346),LX-61,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
105,LX-62,0.13,0.0012,30.0,20.6,0.0,3.12,0.0,0.0,,,,,POINT (1490473.835183984 5147443.512206186),LX-62,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
106,LX-63,0.52,0.0028,40.0,20.4,1.0,9.99,0.0,0.0,,,,,POINT (1490462.1067896674 5147471.061618408),LX-63,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
107,LX-64,2.6,0.0085,80.0,20.1,0.7,9.99,0.0,0.0,,276676.2117322298,600020983.6554505,2114.8700125558535,POINT (1490453.4289578092 5147498.247831717),LX-64,,,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Scores<6,1,orange
108,LX-65,0.26,0.0051,150.0,20.4,1.1,9.99,1.0,0.0,,,,,POINT (1490488.9321489134 5147508.650185766),LX-65,,,0.0,0.0,1.0,1.0,0.0,,3.0,1.0,Scores<6,1,orange
109,LX-66,0.19,0.0029,20.0,20.5,0.0,5.97,0.0,0.0,,,,,POINT (1490530.145879542 5147523.38542142),LX-66,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
110,LX-67,0.16,0.0046,100.0,20.5,0.8,9.99,0.0,0.0,,,,,POINT (1490560.663539813 5147535.547507027),LX-67,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
111,LX-68,3.51,0.0123,120.0,20.0,0.9,9.99,0.0,0.0,,,,,POINT (1490572.0687571452 5147512.639581136),LX-68,,,0.0,2.0,0.0,1.0,0.0,,5.0,2.0,Scores<6,1,orange
112,LX-69,0.23,0.004,110.0,20.5,0.9,9.99,0.0,0.0,,,,,POINT (1490566.1641999253 5147525.341119969),LX-69,,,0.0,0.0,0.0,1.0,0.0,,2.0,1.0,Scores<6,1,orange
113,LX-70,0.51,0.0146,70.0,19.4,0.0,7.74,0.0,0.0,,,,,POINT (1490519.9408021378 5147536.247808435),LX-70,,,0.0,2.0,0.0,0.0,0.0,,3.0,1.0,Scores<6,1,orange
114,LX-71,1.77,0.0187,190.0,19.1,1.5,9.99,0.0,0.0,877.0,1177432.3308029058,3107452103.584943,6917.481983271285,POINT (1490519.00862489 5147586.8641377725),LX-71,,7.0,0.0,2.0,1.0,1.0,0.0,1.0,6.0,2.0,Suspected_source_of_contamination,1,orange
115,LX-72,0.92,0.0041,360.0,20.0,3.6,9.99,1.0,0.0,,,,,POINT (1490506.7178885206 5147570.382189758),LX-72,,,0.0,0.0,1.0,1.0,0.0,,3.0,1.0,Scores<6,1,orange
116,LX-73,0.92,0.016,280.0,19.1,3.0,9.99,1.0,0.0,,,,,POINT (1490495.7418674543 5147595.918988547),LX-73,,,0.0,2.0,1.0,1.0,0.0,,5.0,1.0,Scores<6,1,orange
117,LX-74,0.33,0.001,0.0,20.6,0.0,2.19,0.0,0.0,,,,,POINT (1490558.9524090064 5147696.526997826),LX-74,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
118,LX-75,0.18,0.0011,0.0,20.9,0.0,2.01,0.0,0.0,,,,,POINT (1490553.832971118 5147656.883499847),LX-75,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
119,LX-76,0.19,0.0012,0.0,20.5,0.0,2.34,0.0,0.0,,,,,POINT (1490547.0845727625 5147624.655670913),LX-76,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
120,LX-77,0.51,0.0091,50.0,19.5,0.6,9.99,0.0,0.0,,,,,POINT (1490544.1647276515 5147595.177384082),LX-77,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
121,LX-78,99.91,0.0091,60.0,19.5,0.6,9.99,0.0,0.0,855.0,301502.171285479,1158474553.038047,2144.1434900253507,POINT (1490553.9961099522 5147576.708448014),LX-78,,7.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,Suspected_source_of_contamination,1,orange
122,LX-79,0.66,0.0053,30.0,19.9,0.0,4.54,0.0,0.0,,,,,POINT (1490618.0879642111 5147587.450184856),LX-79,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
123,LX-8,0.41,0.003,20.0,20.5,0.0,2.7,0.0,0.0,,,,,POINT (1490555.9040616737 5147427.703309449),LX-8,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
124,LX-80,0.22,0.003,20.0,20.4,0.0,2.33,1.0,0.0,,,,,POINT (1490605.697422049 5147621.716980664),LX-80,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
125,LX-81,2.55,0.0033,130.0,20.0,1.0,9.99,2.0,0.0,,48828.500693430346,21894944.695429217,0.0,POINT (1490479.8960754978 5147561.801809215),LX-81,,,0.0,0.0,0.0,1.0,0.0,,3.0,2.0,Scores<6,1,orange
126,LX-82,0.27,0.0101,80.0,19.5,0.7,9.99,1.0,0.0,,,,,POINT (1490446.4762907582 5147551.734330594),LX-82,,,0.0,2.0,0.0,0.0,0.0,,3.0,1.0,Scores<6,1,orange
127,LX-83,0.63,0.0099,140.0,19.1,1.1,9.99,2.0,0.0,,,,,POINT (1490411.1759729204 5147540.085297439),LX-83,,,0.0,0.0,1.0,1.0,0.0,,3.0,1.0,Scores<6,1,orange
128,LX-84,1.35,0.003,110.0,20.3,1.0,9.99,2.0,0.0,,,,,POINT (1490381.4639095399 5147536.162068394),LX-84,,,0.0,0.0,0.0,1.0,0.0,,3.0,2.0,Scores<6,1,orange
129,LX-85,0.73,0.0033,180.0,20.3,1.8,9.99,1.0,0.0,,,,,POINT (1490348.7992448641 5147524.085346929),LX-85,,,0.0,0.0,1.0,1.0,0.0,,3.0,1.0,Scores<6,1,orange
130,LX-86,99.79,0.0023,150.0,20.4,1.4,9.99,0.0,0.0,3100.0,476429.27936288546,543686334.3322164,5454.1247027572035,POINT (1490339.583496796 5147554.598499539),LX-86,,8.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,6.0,Suspected_source_of_contamination,1,orange
131,LX-87,1.56,0.0035,140.0,20.3,1.5,9.99,0.0,0.0,,,,,POINT (1490328.2943099318 5147558.328983911),LX-87,,,0.0,0.0,1.0,1.0,0.0,,4.0,2.0,Scores<6,1,orange
132,LX-88,0.67,0.0017,40.0,20.6,0.0,3.02,0.0,0.0,,,,,POINT (1490333.7476224909 5147566.883890782),LX-88,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
133,LX-89,0.77,0.0137,70.0,19.7,0.6,9.99,0.0,0.0,,,,,POINT (1490389.3233919714 5147582.643476744),LX-89,,,0.0,2.0,0.0,0.0,0.0,,3.0,1.0,Scores<6,1,orange
134,LX-9,0.37,0.002,250.0,20.3,1.8,9.99,0.0,0.0,,,,,POINT (1490519.002579932 5147415.368512504),LX-9,,,0.0,0.0,1.0,1.0,0.0,,3.0,1.0,Scores<6,1,orange
135,LX-90,3.08,0.0027,40.0,20.5,0.0,8.78,0.0,0.0,,,,,POINT (1490384.9973256895 5147577.68266104),LX-90,,,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Scores<6,1,orange
136,LX-91,0.32,0.0107,20.0,20.1,0.0,5.31,0.0,0.0,,,,,POINT (1490388.1325032476 5147566.242164692),LX-91,,,0.0,2.0,0.0,0.0,0.0,,3.0,1.0,Scores<6,1,orange
137,LX-92,0.61,0.0043,290.0,20.5,2.8,9.99,0.0,0.0,,,,,POINT (1490394.1921628974 5147571.055088544),LX-92,,,0.0,0.0,1.0,1.0,0.0,,3.0,1.0,Scores<6,1,orange
138,LX-93,0.52,0.0016,40.0,20.5,0.7,9.72,0.0,0.0,,,,,POINT (1490389.28913419 5147603.967529895),LX-93,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
139,LX-94,99.8,0.0022,150.0,20.4,1.7,9.99,0.0,0.0,,314197.32979819976,208801361.42926848,0.0,POINT (1490381.643600325 5147601.032265636),LX-94,,,0.0,0.0,1.0,1.0,0.0,,8.0,6.0,Scores<6,1,orange
140,LX-95,2.22,0.0033,30.0,20.3,0.0,7.62,0.0,0.0,,,,,POINT (1490397.1169191003 5147545.076683247),LX-95,,,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Scores<6,1,orange
141,LX-96,7.09,0.0031,20.0,20.4,0.0,5.07,0.0,0.0,,,,,POINT (1490409.6112097658 5147518.077402326),LX-96,,,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,Scores<6,1,orange
142,LX-97,0.63,0.0029,30.0,20.4,0.0,5.14,0.0,0.0,,,,,POINT (1490418.1367593291 5147502.38485466),LX-97,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
143,LX-98,0.98,0.0223,120.0,19.3,1.2,9.99,0.0,0.0,,429337.1062780867,801924803.3766286,5099.887457365053,POINT (1490481.4585933434 5147626.042656201),LX-98,,,0.0,2.0,1.0,1.0,0.0,,5.0,1.0,Scores<6,1,orange
144,LX-99,0.97,0.0033,10.0,20.5,0.0,3.55,0.0,0.0,,,,,POINT (1490437.6406312888 5147490.163561682),LX-99,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Scores<6,1,orange
